ts,city,temp,cond
1996-10-10 00:00:00.0,Albuquerque,105,"Rain or drizzle and snow slight"
1996-10-11 00:00:00.0,Albuquerque,116,Severe duststorm or sandstorm has begun or has increased during the preceding hour
1996-10-16 00:00:00.0,Albuquerque,80,Isolated star-like snow crystals (with or without fog)
1996-10-22 00:00:00.0,Albuquerque,74,"Thunderstorm heavy without hail (Hail small hail snow pellets) but with rain  and/or snow at time of observation thunderstorm at time of observation"
1996-10-23 00:00:00.0,Albuquerque,73,"Fog or ice fog sky invisible has become thinner during the preceding hour"
1996-10-24 00:00:00.0,Albuquerque,57,"Rain not freezing intermittent heavy at time of observation"
1996-10-25 00:00:00.0,Albuquerque,61,Rain (not freezing) not falling as shower(s)
1996-11-08 00:00:00.0,Albuquerque,101,Cloud development not observed or not observable
1996-11-26 00:00:00.0,Albuquerque,45,"Fog depositing rime sky invisible"
1996-12-09 00:00:00.0,Albuquerque,98,Freezing drizzle or freezing rain not falling as shower(s)
1996-12-12 00:00:00.0,Albuquerque,106,"Patches of shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea"
1996-12-16 00:00:00.0,Albuquerque,70,"Intermittent fall of snowflakes moderate at time of observation"
1996-12-17 00:00:00.0,Albuquerque,39,Snow not falling as shower(s)
1996-12-25 00:00:00.0,Albuquerque,101,"Intermittent fall of snowflakes moderate at time of observation"
1997-01-02 00:00:00.0,Albuquerque,93,Squalls at or within sight of the station during the preceding hour or at the time of observation
1997-01-14 00:00:00.0,Albuquerque,115,"Drizzle not freezing continuous moderate at time of observation"
1997-01-15 00:00:00.0,Albuquerque,63,"More or less continuous shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea "
1997-01-23 00:00:00.0,Albuquerque,48,Squalls at or within sight of the station during the preceding hour or at the time of observation
1997-01-29 00:00:00.0,Albuquerque,75,"Precipitation within sight reaching the ground or the surface of the sea but distant i.e. estimated to be more than 5 km from the station"
1997-01-31 00:00:00.0,Albuquerque,105,"Intermittent fall of snowflakes slight at time of observation"
1997-02-04 00:00:00.0,Albuquerque,77,"Drizzle and rain slight"
1997-02-11 00:00:00.0,Albuquerque,104,"Fog or ice fog sky invisible has become thinner during the preceding hour"
1997-02-13 00:00:00.0,Albuquerque,75,"Slight rain at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-02-14 00:00:00.0,Albuquerque,84,"Rain freezing moderate or heavy"
1997-02-18 00:00:00.0,Albuquerque,88,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed moderate or heavy"
1997-02-24 00:00:00.0,Albuquerque,40,Thunderstorm (with or without precipitation)
1997-03-04 00:00:00.0,Albuquerque,46,Cloud development not observed or not observable
1997-03-05 00:00:00.0,Albuquerque,82,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed moderate or heavy"
1997-03-12 00:00:00.0,Albuquerque,75,"Precipitation within sight reaching the ground or the surface of the sea but distant i.e. estimated to be more than 5 km from the station"
1997-03-14 00:00:00.0,Albuquerque,74,"Intermittent fall of snowflakes heavy at time of observation"
1997-03-18 00:00:00.0,Albuquerque,96,"Continuous fall of snowflakes heavy at time of observation"
1997-03-24 00:00:00.0,Albuquerque,56,"Widespread dust in suspension in the air not raised by wind at or near the station at the time of observation"
1997-03-25 00:00:00.0,Albuquerque,98,Shower(s) of snow or of rain and snow
1997-03-26 00:00:00.0,Albuquerque,85,Thunderstorm (with or without precipitation)
1997-03-28 00:00:00.0,Albuquerque,111,Isolated star-like snow crystals (with or without fog)
1997-04-08 00:00:00.0,Albuquerque,105,Shower(s) of snow or of rain and snow
1997-04-10 00:00:00.0,Albuquerque,98,"Drizzle not freezing intermittent slight at time of observation"
1997-04-16 00:00:00.0,Albuquerque,99,"Fog or ice fog sky visible no appreciable change during the preceding hour"
1997-04-21 00:00:00.0,Albuquerque,114,"Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour"
1997-04-23 00:00:00.0,Albuquerque,64,"Snow shower(s) moderate or heavy"
1997-05-06 00:00:00.0,Albuquerque,77,"Moderate or heavy snow or rain and snow mixed or hail(Hail small hail snow pellets) at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-05-07 00:00:00.0,Albuquerque,79,"Drizzle not freezing continuous heavy (dense) at time of observation"
1997-05-15 00:00:00.0,Albuquerque,88,Rain and snow or ice pellets not falling as shower(s)
1997-05-16 00:00:00.0,Albuquerque,115,Isolated star-like snow crystals (with or without fog)
1997-05-22 00:00:00.0,Albuquerque,58,Heavy blowing snow generally high (above eye level)
1997-05-28 00:00:00.0,Albuquerque,78,"Continuous fall of snowflakes moderate at time of observation"
1997-05-30 00:00:00.0,Albuquerque,89,"Thunderstorm heavy with hail (Hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1997-06-02 00:00:00.0,Albuquerque,56,"Drizzle not freezing continuous heavy (dense) at time of observation"
1997-06-09 00:00:00.0,Albuquerque,91,Cloud development not observed or not observable
1997-06-11 00:00:00.0,Albuquerque,63,Squalls at or within sight of the station during the preceding hour or at the time of observation
1997-06-17 00:00:00.0,Albuquerque,114,Snow not falling as shower(s)
1997-06-27 00:00:00.0,Albuquerque,47,Mist
1997-07-04 00:00:00.0,Albuquerque,81,"Slight snow or rain and snow mixed or hail (Hail small hail snow pellets) at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-07-07 00:00:00.0,Albuquerque,72,"Shower(s) of hail (Hail small hail snow pellets) or rain and hail"
1997-07-08 00:00:00.0,Albuquerque,72,"Precipitation within sight reaching the ground or the surface of the sea near to but not at the station"
1997-07-10 00:00:00.0,Albuquerque,100,"Moderate or heavy snow or rain and snow mixed or hail(Hail small hail snow pellets) at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-07-14 00:00:00.0,Albuquerque,73,"Thunderstorm heavy with hail (Hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1997-07-15 00:00:00.0,Albuquerque,77,"Fog or ice fog at a distance at the time of observation but not at the station during the preceding hour the fog or ice fog extending to a level above that of the observer"
1997-07-28 00:00:00.0,Albuquerque,112,"Precipitation within sight reaching the ground or the surface of the sea but distant i.e. estimated to be more than 5 km from the station"
1997-07-29 00:00:00.0,Albuquerque,113,"Precipitation within sight reaching the ground or the surface of the sea but distant i.e. estimated to be more than 5 km from the station"
1997-07-30 00:00:00.0,Albuquerque,94,"Thunderstorm but no precipitation at the time of observation"
1997-08-11 00:00:00.0,Albuquerque,78,Heavy drifting snow generally low (below eye level)
1997-08-27 00:00:00.0,Albuquerque,89,Thunderstorm (with or without precipitation)
1997-09-02 00:00:00.0,Albuquerque,51,"Widespread dust in suspension in the air not raised by wind at or near the station at the time of observation"
1997-09-12 00:00:00.0,Albuquerque,86,"Visibility reduced by smoke e.g. veldt or forest fires industrial smoke or volcanic ashes"
1997-09-18 00:00:00.0,Albuquerque,86,Shower(s) of snow or of rain and snow
1997-09-19 00:00:00.0,Albuquerque,90,"Drizzle and rain moderate or heavy"
1997-09-22 00:00:00.0,Albuquerque,48,Funnel cloud(s) (Tornado cloud or waterspout) at or within sight of the station during the preceding hour or at the time of observation 
1997-09-25 00:00:00.0,Albuquerque,41,"Thunderstorm but no precipitation at the time of observation"
1997-10-01 00:00:00.0,Albuquerque,49,"Drizzle not freezing intermittent heavy (dense) at time of observation"
1997-10-02 00:00:00.0,Albuquerque,40,Severe duststorm or sandstorm has decreased during the preceding hour
1997-10-07 00:00:00.0,Albuquerque,109,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1997-10-15 00:00:00.0,Albuquerque,118,"Intermittent fall of snowflakes heavy at time of observation"
1997-10-16 00:00:00.0,Albuquerque,90,"Drizzle not freezing continuous moderate at time of observation"
1997-10-20 00:00:00.0,Albuquerque,64,"Drizzle and rain slight"
1997-11-03 00:00:00.0,Albuquerque,64,"Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour"
1997-11-06 00:00:00.0,Albuquerque,94,"Continuous fall of snowflakes heavy at time of observation"
1997-11-07 00:00:00.0,Albuquerque,94,"Slight rain at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-11-28 00:00:00.0,Albuquerque,116,Slight or moderate duststorm or sandstorm has begun or has increased during the preceding hour
1997-12-04 00:00:00.0,Albuquerque,71,"Rain not freezing continuous slight at time of observation"
1997-12-18 00:00:00.0,Albuquerque,55,"Shower(s) of hail (hail small hail snow pellets)  with or without rain or rain and snow mixed not associated with thunder slight"
1997-12-23 00:00:00.0,Albuquerque,72,"Drizzle and rain slight"
1997-12-26 00:00:00.0,Albuquerque,118,"Thunderstorm but no precipitation at the time of observation"
1997-12-29 00:00:00.0,Albuquerque,92,Cloud development not observed or not observable
1997-12-30 00:00:00.0,Albuquerque,93,"Visibility reduced by smoke e.g. veldt or forest fires industrial smoke or volcanic ashes"
1998-01-02 00:00:00.0,Albuquerque,75,Diamond dust (with or without fog)
1998-01-05 00:00:00.0,Albuquerque,108,Diamond dust (with or without fog)
1998-01-13 00:00:00.0,Albuquerque,58,"Thunderstorm but no precipitation at the time of observation"
1998-01-14 00:00:00.0,Albuquerque,84,"Shower(s) of rain and snow mixed slight"
1998-01-16 00:00:00.0,Albuquerque,50,"Visibility reduced by smoke e.g. veldt or forest fires industrial smoke or volcanic ashes"
1998-01-21 00:00:00.0,Albuquerque,64,Snow grains (with or without fog)
1998-02-04 00:00:00.0,Albuquerque,40,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed slight"
1998-02-09 00:00:00.0,Albuquerque,71,Rain and snow or ice pellets not falling as shower(s)
1998-02-10 00:00:00.0,Albuquerque,70,"Drizzle not freezing intermittent heavy (dense) at time of observation"
1998-02-11 00:00:00.0,Albuquerque,57,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed moderate or heavy"
1998-02-12 00:00:00.0,Albuquerque,99,"Show shower(s) slight"
1998-02-13 00:00:00.0,Albuquerque,98,Thunderstorm (with or without precipitation)
1998-02-16 00:00:00.0,Albuquerque,71,Slight or moderate duststorm or sandstorm has begun or has increased during the preceding hour
1998-02-25 00:00:00.0,Albuquerque,57,"Fog depositing rime sky invisible"
1998-03-02 00:00:00.0,Albuquerque,96,"Continuous fall of snowflakes heavy at time of observation"
1998-03-03 00:00:00.0,Albuquerque,96,Isolated star-like snow crystals (with or without fog)
1998-03-10 00:00:00.0,Albuquerque,50,"Rain shower(s) moderate or heavy"
1998-03-11 00:00:00.0,Albuquerque,117,"Drizzle not freezing continuous moderate at time of observation"
1998-03-12 00:00:00.0,Albuquerque,82,"Thunderstorm slight or moderate without hail (Hail small hail snow pellets) but with rain and/or snow at time of observation thunderstorm at time of  observation"
1998-03-16 00:00:00.0,Albuquerque,96,Drizzle (not freezing) or snow grains not falling as shower(s)
1998-03-17 00:00:00.0,Albuquerque,43,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1998-03-20 00:00:00.0,Albuquerque,85,Cloud development not observed or not observable
1998-03-23 00:00:00.0,Albuquerque,100,Slight or moderate duststorm or sandstorm no appreciable change during the preceding hour
1998-03-26 00:00:00.0,Albuquerque,107,Slight or moderate duststorm or sandstorm has begun or has increased during the preceding hour
1998-03-31 00:00:00.0,Albuquerque,80,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed slight"
1998-04-01 00:00:00.0,Albuquerque,70,Haze
1998-04-02 00:00:00.0,Albuquerque,45,"Drizzle and rain slight"
1998-04-03 00:00:00.0,Albuquerque,56,"Continuous fall of snowflakes slight at time of observation"
1998-04-08 00:00:00.0,Albuquerque,51,"Intermittent fall of snowflakes slight at time of observation"
1998-04-10 00:00:00.0,Albuquerque,81,"Shower(s) of rain and snow mixed moderate or heavy"
1998-04-14 00:00:00.0,Albuquerque,89,"Precipitation within sight reaching the ground or the surface of the sea but distant i.e. estimated to be more than 5 km from the station"
1998-04-16 00:00:00.0,Albuquerque,86,Mist
1998-04-17 00:00:00.0,Albuquerque,62,Thunderstorm (with or without precipitation)
1998-04-21 00:00:00.0,Albuquerque,119,Severe duststorm or sandstorm has decreased during the preceding hour
1998-04-27 00:00:00.0,Albuquerque,45,"Shower(s) of rain and snow mixed moderate or heavy"
1998-04-28 00:00:00.0,Albuquerque,85,"Drizzle and rain slight"
1998-04-29 00:00:00.0,Albuquerque,90,Fog or ice fog
1998-05-04 00:00:00.0,Albuquerque,77,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1998-05-06 00:00:00.0,Albuquerque,114,"Rain not freezing intermittent slight at time of observation"
1998-05-07 00:00:00.0,Albuquerque,86,"Snow shower(s) moderate or heavy"
1998-05-12 00:00:00.0,Albuquerque,84,Funnel cloud(s) (Tornado cloud or waterspout) at or within sight of the station during the preceding hour or at the time of observation 
1998-05-19 00:00:00.0,Albuquerque,48,"Rain or drizzle and snow moderate or heavy"
1998-05-21 00:00:00.0,Albuquerque,48,"Fog depositing rime sky visible"
1998-05-28 00:00:00.0,Albuquerque,92,"Patches of shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea"
1998-06-03 00:00:00.0,Albuquerque,78,Snow not falling as shower(s)
1996-08-13 00:00:00.0,Anchorage,94,Severe duststorm or sandstorm has decreased during the preceding hour
1996-08-16 00:00:00.0,Anchorage,73,"Continuous fall of snowflakes heavy at time of observation"
1996-08-19 00:00:00.0,Anchorage,88,"Rain not freezing intermittent heavy at time of observation"
1996-08-21 00:00:00.0,Anchorage,90,Fog or ice fog
1996-10-04 00:00:00.0,Anchorage,116,"Shower(s) of rain and snow mixed moderate or heavy"
1996-10-11 00:00:00.0,Anchorage,53,Drizzle (not freezing) or snow grains not falling as shower(s)
1996-10-15 00:00:00.0,Anchorage,92,"Thunderstorm slight or moderate without hail (Hail small hail snow pellets) but with rain and/or snow at time of observation thunderstorm at time of  observation"
1996-11-08 00:00:00.0,Anchorage,72,Snow not falling as shower(s)
1996-11-11 00:00:00.0,Anchorage,52,"Drizzle and rain moderate or heavy"
1996-11-22 00:00:00.0,Anchorage,53,Slight or moderate duststorm or sandstorm has decreased during the preceding hour
1996-11-25 00:00:00.0,Anchorage,95,"Fog or ice fog sky visible no appreciable change during the preceding hour"
1996-11-26 00:00:00.0,Anchorage,71,"Thunderstorm heavy with hail (Hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1996-12-02 00:00:00.0,Anchorage,48,"Rain not freezing continuous slight at time of observation"
1996-12-17 00:00:00.0,Anchorage,49,"Duststorm or sandstorm within sight at the time of observation or at the station during the preceding hour"
1996-12-18 00:00:00.0,Anchorage,93,"Fog or ice fog sky invisible has begun or has become thicker during the preceding hour"
1996-12-24 00:00:00.0,Anchorage,71,"Thunderstorm combined with duststorm or sandstorm at time of observation thunderstorm at time of observation"
1997-01-01 00:00:00.0,Anchorage,49,"Rain shower(s) slight"
1997-01-13 00:00:00.0,Anchorage,118,"Patches of shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea"
1997-01-14 00:00:00.0,Anchorage,91,Rain and snow or ice pellets not falling as shower(s)
1997-01-20 00:00:00.0,Anchorage,84,"Fog or ice fog sky visible no appreciable change during the preceding hour"
1997-01-23 00:00:00.0,Anchorage,83,Cloud development not observed or not observable
1997-02-13 00:00:00.0,Anchorage,53,"Drizzle not freezing intermittent slight at time of observation"
1997-02-14 00:00:00.0,Anchorage,65,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation but no duststorm or sandstorm"
1997-02-17 00:00:00.0,Anchorage,87,"Drizzle freezing moderate or heavy (dense)"
1997-02-24 00:00:00.0,Anchorage,71,"Show shower(s) slight"
1997-03-12 00:00:00.0,Anchorage,62,Slight or moderate duststorm or sandstorm has decreased during the preceding hour
1997-03-14 00:00:00.0,Anchorage,99,"Moderate or heavy snow or rain and snow mixed or hail(Hail small hail snow pellets) at time of observation thunderstorm during the preceding hour but not at time of observation"
1997-03-18 00:00:00.0,Anchorage,91,"Intermittent fall of snowflakes moderate at time of observation"
1997-03-21 00:00:00.0,Anchorage,76,"Thunderstorm slight or moderate without hail (Hail small hail snow pellets) but with rain and/or snow at time of observation thunderstorm at time of  observation"
1997-03-24 00:00:00.0,Anchorage,71,"Shower(s) of rain and snow mixed slight"
1997-04-11 00:00:00.0,Anchorage,75,"Shower(s) of hail (hail small hail snow pellets) with or without rain or rain and snow mixed not associated with thunder moderate or heavy"
1997-04-17 00:00:00.0,Anchorage,41,"Dust or sand raised by wind at or near the station at the time of observation but no well-developed dust whirl(s) or sand whirl(s) and no duststorm or sandstorm seen or in the case of ships blowing spray at the station"
1997-05-15 00:00:00.0,Anchorage,119,"Drizzle not freezing intermittent slight at time of observation"
1997-05-26 00:00:00.0,Anchorage,56,Snow not falling as shower(s)
1997-05-27 00:00:00.0,Anchorage,61,State of sky on the whole unchanged
1997-06-02 00:00:00.0,Anchorage,39,"Rain not freezing continuous heavy at time of observation"
1997-06-10 00:00:00.0,Anchorage,46,"Fog or ice fog sky invisible has begun or has become thicker during the preceding hour"
1997-06-23 00:00:00.0,Anchorage,55,"Thunderstorm combined with duststorm or sandstorm at time of observation thunderstorm at time of observation"
1997-07-03 00:00:00.0,Anchorage,119,Snow grains (with or without fog)
1997-07-15 00:00:00.0,Anchorage,63,"Drizzle and rain moderate or heavy"
1997-07-24 00:00:00.0,Anchorage,107,"Drizzle freezing slight"
1997-08-06 00:00:00.0,Anchorage,89,"Drizzle not freezing intermittent moderate at time of observation"
1997-08-28 00:00:00.0,Anchorage,64,Severe duststorm or sandstorm has decreased during the preceding hour
1997-09-09 00:00:00.0,Anchorage,70,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed moderate or heavy"
1997-09-10 00:00:00.0,Anchorage,100,"Snow shower(s) moderate or heavy"
1997-09-16 00:00:00.0,Anchorage,118,"Fog or ice fog sky invisible no appreciable change during the preceding hour"
1997-10-13 00:00:00.0,Anchorage,63,"More or less continuous shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea "
1997-10-17 00:00:00.0,Anchorage,119,"More or less continuous shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea "
1997-10-22 00:00:00.0,Anchorage,112,Rain and snow or ice pellets not falling as shower(s)
1997-10-23 00:00:00.0,Anchorage,107,Drizzle (not freezing) or snow grains not falling as shower(s)
1997-11-13 00:00:00.0,Anchorage,86,"Shower(s) of rain and snow mixed moderate or heavy"
1997-11-14 00:00:00.0,Anchorage,92,"Rain not freezing intermittent slight at time of observation"
1997-11-19 00:00:00.0,Anchorage,57,Freezing drizzle or freezing rain not falling as shower(s)
1997-11-24 00:00:00.0,Anchorage,69,"Continuous fall of snowflakes moderate at time of observation"
1997-11-28 00:00:00.0,Anchorage,40,"Precipitation within sight not reaching the ground or the surface of the sea"
1997-12-02 00:00:00.0,Anchorage,93,"Intermittent fall of snowflakes slight at time of observation"
1997-12-15 00:00:00.0,Anchorage,49,Rain and snow or ice pellets not falling as shower(s)
1997-12-26 00:00:00.0,Anchorage,40,"Thunderstorm slight or moderate with hail (hail small hail snow pellets) at time of observation thunderstorm at time of observation"
1997-12-29 00:00:00.0,Anchorage,79,Severe duststorm or sandstorm no appreciable change during the preceding hour
1997-12-31 00:00:00.0,Anchorage,58,Cloud development not observed or not observable
1998-01-16 00:00:00.0,Anchorage,92,"Shower(s) of hail (hail small hail snow pellets)  with or without rain or rain and snow mixed not associated with thunder slight"
1998-01-19 00:00:00.0,Anchorage,115,"Shower(s) of hail (hail small hail snow pellets)  with or without rain or rain and snow mixed not associated with thunder slight"
1998-01-20 00:00:00.0,Anchorage,88,"Shower(s) of snow pellets or small hail with or without rain or rain and snow mixed moderate or heavy"
1998-01-22 00:00:00.0,Anchorage,88,State of sky on the whole unchanged
1998-01-23 00:00:00.0,Anchorage,65,"Drizzle and rain slight"
1998-01-28 00:00:00.0,Anchorage,114,"Drizzle and rain moderate or heavy"
1998-01-29 00:00:00.0,Anchorage,73,Shower(s) of rain
1998-02-06 00:00:00.0,Anchorage,64,Slight or moderate blowing snow generally high (above eye level)
1998-02-18 00:00:00.0,Anchorage,103,"Drizzle freezing slight"
1998-02-24 00:00:00.0,Anchorage,91,"More or less continuous shallow fog or ice fog at the station whether on land or sea not deeper than about 2 meters on land or 10 meters at sea "
1998-02-26 00:00:00.0,Anchorage,112,Severe duststorm or sandstorm has decreased during the preceding hour
1998-03-02 00:00:00.0,Anchorage,76,Shower(s) of snow or of rain and snow
1998-03-11 00:00:00.0,Anchorage,104,"Rain shower(s) violent"
1998-03-12 00:00:00.0,Anchorage,87,"Fog or ice fog sky visible no appreciable change during the preceding hour"
1998-03-16 00:00:00.0,Anchorage,80,Severe duststorm or sandstorm no appreciable change during the preceding hour
1998-03-19 00:00:00.0,Anchorage,119,"Rain not freezing intermittent slight at time of observation"
1998-03-30 00:00:00.0,Anchorage,53,Snow not falling as shower(s)
1998-04-03 00:00:00.0,Anchorage,95,Slight or moderate duststorm or sandstorm has begun or has increased during the preceding hour
1998-04-07 00:00:00.0,Anchorage,76,Slight or moderate blowing snow generally high (above eye level)
1998-04-10 00:00:00.0,Anchorage,70,"Visibility reduced by smoke e.g. veldt or forest fires industrial smoke or volcanic ashes"
